UsageData 2026-05-12,,,,,,,,,
,,,,,,,,,
ApplicationName,Functionality,cadTool,ProductLine,Status,Region,StartDate,StopDate,isProd,isVDI
POINT CHART,TUBE,CATIA,FLUIDS,Success,NA,1/3/2025,1/3/2025,TRUE,TRUE
POINT CHART,XYZ TABLE,NX,SEALING,Success,ASIA,1/3/2025,1/3/2025,TRUE,FALSE
POINT CHART,XYZ TABLE,NX,SEALING,Success,ASIA,1/3/2025,1/3/2025,TRUE,FALSE
POINT CHART,XYZ TABLE,NX,SEALING,Success,ASIA,1/3/2025,1/3/2025,TRUE,FALSE
NOTES UTILITY,2D TITLEBLOCK,CATIA,SEALING,Success,EU,1/3/2025,1/3/2025,TRUE,FALSE
BBB,EXECUTION,NX,SEALING,Success,NA,1/3/2025,1/3/2025,TRUE,TRUE
BBB,EXECUTION,NX,SEALING,Success,NA,1/3/2025,1/3/2025,TRUE,TRUE
BBB,EXECUTION,NX,SEALING,Success,NA,1/3/2025,1/3/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/3/2025,1/3/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/3/2025,1/3/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/4/2025,1/4/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,CATIA,SEALING,Success,EU,1/4/2025,1/4/2025,TRUE,FALSE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/4/2025,1/4/2025,TRUE,TRUE
DESIGN TOOLKIT,MOLD MARK,CATIA,SEALING,Success,ASIA,1/4/2025,1/4/2025,TRUE,FALSE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/4/2025,1/4/2025,TRUE,TRUE
POINT CHART,XYZ NOTES,NX,SEALING,Success,NA,1/4/2025,1/4/2025,TRUE,TRUE
POINT CHART,XYZ NOTES,NX,SEALING,Success,NA,1/4/2025,1/4/2025,TRUE,TRUE
POINT CHART,XYZ NOTES,NX,SEALING,Success,NA,1/4/2025,1/4/2025,TRUE,TRUE
POINT CHART,XYZ NOTES,NX,SEALING,Success,NA,1/4/2025,1/4/2025,TRUE,TRUE
POINT CHART,XYZ NOTES,NX,SEALING,Success,NA,1/4/2025,1/4/2025,TRUE,TRUE
RENAME ENTITIES,EXECUTION,CATIA,SEALING,Success,ASIA,1/4/2025,1/4/2025,TRUE,FALSE
POINT CHART,XYZ NOTES,NX,SEALING,Success,NA,1/4/2025,1/4/2025,TRUE,TRUE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/4/2025,1/4/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/4/2025,1/4/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/4/2025,1/4/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/4/2025,1/4/2025,TRUE,FALSE
POINT CHART,TUBE,CATIA,FLUIDS,Success,ASIA,1/4/2025,1/4/2025,TRUE,FALSE
RENAME ENTITIES,EXECUTION,CATIA,SEALING,Success,ASIA,1/4/2025,1/4/2025,TRUE,FALSE
POINT CHART,TUBE,CATIA,FLUIDS,Success,ASIA,1/4/2025,1/4/2025,TRUE,FALSE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/4/2025,1/4/2025,TRUE,TRUE
PIN SPACE-PLACE,AXIS SYSTEM,CATIA,SEALING,Success,NA,1/4/2025,1/4/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/4/2025,1/4/2025,TRUE,TRUE
PIN SPACE-PLACE,HOLES,CATIA,SEALING,Success,NA,1/4/2025,1/4/2025,TRUE,TRUE
HIDE SHOW 3D,EXECUTION,CATIA,SEALING,Success,NA,1/6/2025,1/6/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/6/2025,1/6/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/6/2025,1/6/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,CATIA,FLUIDS,Success,EU,1/6/2025,1/6/2025,TRUE,FALSE
POINT CHART,TUBE,CATIA,FLUIDS,Success,EU,1/6/2025,1/6/2025,TRUE,FALSE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/6/2025,1/6/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/6/2025,1/6/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/6/2025,1/6/2025,TRUE,TRUE
POINT CHART,TUBE,CATIA,FLUIDS,Success,ASIA,1/6/2025,1/6/2025,TRUE,FALSE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/6/2025,1/6/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/6/2025,1/6/2025,TRUE,TRUE
POINT CHART,XYZ NOTES,NX,SEALING,Success,NA,1/6/2025,1/6/2025,TRUE,TRUE
BBB,EXECUTION,NX,SEALING,Success,NA,1/6/2025,1/6/2025,TRUE,TRUE
BBB,EXECUTION,NX,SEALING,Success,NA,1/6/2025,1/6/2025,TRUE,TRUE
BBB,EXECUTION,NX,SEALING,Success,NA,1/6/2025,1/6/2025,TRUE,TRUE
BBB,EXECUTION,NX,SEALING,Success,NA,1/6/2025,1/6/2025,TRUE,TRUE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
BBB,EXECUTION,NX,SEALING,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
POINT CHART,XYZ NOTES,NX,SEALING,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
SMART CVT,FORMED MODEL,NX,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
